id;fonte;data;indirizzo;zona;tipo;mq;stato;piano;ascensore;classe;balconi;cantina;box;epoca;affaccio;metro;prezzo_richiesto;prezzo_venduto;note
ds-25;idealista;2026-09-05;Via Carlo Farini 81;C15;civ;55;abit;1-2;si;E;0;no;nessuno;;;;265000;;Isola · Bilocale · stato: Buono · Standard · 55 mq commerciali (48 utili)
ds-26;idealista;2026-09-05;Via Cola Montano 6;C12;civ;65;abit;1-2;si;E;1;si;nessuno;;;;375000;;Isola · Bilocale · stato: Buono · Standard
ds-27;idealista;2026-09-05;Via Francesco Arese;C15;civ;68;abit;3-5;si;D;1;no;nessuno;;;;385000;;Isola · Bilocale · stato: Buono · Standard
ds-28;idealista;2026-09-05;Via Ercole Oldofredi;C15;civ;96;abit;1-2;si;D;0;no;nessuno;;;;495000;;Isola · Trilocale · stato: Buono · Standard
ds-29;idealista;2026-09-05;Via Lazzaro Palazzi;C12;civ;84;abit;1-2;si;D;1;si;nessuno;;;;620000;;Porta Venezia · Trilocale · stato: Buono · Standard
ds-30;idealista;2026-09-05;Via Lambro 11;C12;civ;90;abit;1-2;no;D;0;no;nessuno;;;;590000;;Porta Venezia · Trilocale · stato: Buono · Standard
ds-31;idealista;2026-09-05;Viale Vittorio Veneto 14;C12;civ;49;otti;1-2;si;D;0;no;nessuno;;;;400000;;Porta Venezia · Bilocale · stato: Ristrutturato · Standard
ds-32;idealista;2026-09-05;Piazza Oberdan;C12;sig;90;otti;3-5;si;D;0;no;nessuno;;;;728000;;Porta Venezia · Bilocale · stato: Ristrutturato · Lusso
ds-33;idealista;2026-09-05;Viale Regina Giovanna;C12;sig;145;abit;3-5;si;D;0;no;nessuno;;;;1190000;;Porta Venezia · Quadrilocale · stato: Buono · Lusso
ds-34;idealista;2026-09-05;Piazza Oberdan;C12;civ;43;rist;1-2;si;D;0;no;nessuno;;;;245000;;Porta Venezia · Bilocale · stato: Da ristrutturare · Standard
ds-35;idealista;2026-09-05;Piazza Oberdan;C12;civ;60;otti;3-5;si;D;0;no;nessuno;;;;428000;;Porta Venezia · Trilocale · stato: Ristrutturato · Standard
ds-36;idealista;2026-09-05;Viale Vittorio Veneto 24;C12;civ;90;rist;3-5;si;D;0;no;nessuno;;;;598000;;Porta Venezia · Bilocale · stato: Da personalizzare · Standard
ds-37;idealista;2026-09-05;Viale Tunisia 27;C12;civ;59;nuov;1-2;si;D;0;no;nessuno;;;;445000;;Porta Venezia · Bilocale · stato: Nuovo / mai abitato · Standard
ds-38;idealista;2026-09-05;Via Degli Scipioni 1;C12;sig;132;otti;rialzato;si;D;0;no;nessuno;;;;920000;;Porta Venezia · Quadrilocale · stato: Ristrutturato · Lusso
ds-39;idealista;2026-09-05;Piazza della Repubblica;C12;sig;191;otti;6+;si;D;0;no;nessuno;;;;2200000;;Porta Venezia · Quadrilocale · stato: Ristrutturato · Lusso
ds-40;idealista;2026-09-05;Viale Abruzzi;D12;civ;40;otti;rialzato;si;D;0;no;nessuno;;;;250000;;Porta Venezia · Monolocale · stato: Ristrutturato · Standard
ds-41;idealista;2026-09-05;Via Clericetti 36;D12;civ;146;abit;1-2;si;D;0;no;nessuno;;;;740000;;Città Studi · Quadrilocale · stato: Buono · Standard
ds-42;idealista;2026-09-05;Via Strambio 4;D12;civ;55;abit;3-5;si;D;0;no;nessuno;;;;395000;;Città Studi · Bilocale · stato: Buono · Standard
ds-43;idealista;2026-09-05;Via Moretto da Brescia 19;D12;civ;65;otti;terra;si;D;0;no;nessuno;;;;369000;;Città Studi · Bilocale · stato: Ristrutturato · Standard
ds-44;idealista;2026-09-05;Via Clericetti 38;D12;civ;40;otti;1-2;no;D;0;no;nessuno;;;;199000;;Città Studi · Bilocale · stato: Ristrutturato · Standard
ds-45;idealista;2026-09-05;Via Temistocle Calzecchi 6;D12;civ;60;otti;1-2;si;D;0;no;nessuno;;;;350000;;Città Studi · Trilocale · stato: Ristrutturato · Standard
ds-46;idealista;2026-09-05;Via Sangallo 39;D12;civ;85;nuov;terra;no;D;0;no;nessuno;;;;470000;;Città Studi · Trilocale · stato: Nuovo · Standard
ds-47;idealista;2026-09-05;Via Sangallo 39;D12;civ;72;nuov;terra;no;A;0;no;nessuno;;;;468000;;Città Studi · Bilocale · stato: Nuovo · Standard
ds-48;idealista;2026-09-05;Via Filippo Tajani 3;D12;civ;28;otti;1-2;si;D;0;no;nessuno;;;;199000;;Città Studi · Monolocale · stato: Ristrutturato · Standard
ds-49;idealista;2026-09-05;Via Valvassori Peroni 41;D12;civ;104;rist;1-2;si;D;0;no;nessuno;;;;475000;;Città Studi · Quadrilocale · stato: Da personalizzare · Standard
ds-50;idealista;2026-09-05;Via Averardo Buschi 37;D12;civ;85;otti;1-2;no;D;0;no;nessuno;;;;445000;;Città Studi · Trilocale · stato: Ristrutturato / buono · Standard
ds-51;idealista;2026-09-05;Via Temistocle Calzecchi 6;D12;civ;95;abit;6+;si;D;0;no;nessuno;;;;495000;;Città Studi · Trilocale · stato: Buono · Standard
ds-52;idealista;2026-09-05;Piazza Leonardo da Vinci 8 - B;D12;civ;45;otti;1-2;si;D;0;no;nessuno;;;;349000;;Città Studi · Bilocale · stato: Ristrutturato · Standard · appartamento B
ds-53;idealista;2026-09-05;Piazza Leonardo da Vinci 8 - A;D12;civ;45;otti;1-2;si;D;0;no;nessuno;;;;339000;;Città Studi · Bilocale · stato: Ristrutturato · Standard
ds-54;idealista;2026-09-05;Via Averardo Buschi 23;D12;civ;70;otti;1-2;si;D;0;no;nessuno;;;;533000;;Città Studi · Bilocale · stato: Ristrutturato · Standard
ds-55;idealista;2026-09-05;Via Vigilio Inama 9;D12;civ;114;otti;terra;si;D;0;no;nessuno;;;;619000;;Città Studi · Trilocale · stato: Ristrutturato · Standard
ds-56;idealista;2026-09-05;Viale Isonzo 27;D20;civ;77;otti;1-2;si;D;0;no;nessuno;;;;595000;;Porta Romana · Trilocale · stato: Buono · Standard
ds-57;idealista;2026-09-05;Viale Umbria 27;C20;civ;65;rist;terra;si;D;0;no;nessuno;;;;307000;;Porta Romana · Trilocale · stato: Da personalizzare · Standard
ds-58;idealista;2026-09-05;Viale Umbria 27;C20;civ;45;rist;terra;si;E;0;no;nessuno;;;;208000;;Porta Romana · Bilocale · stato: Da personalizzare · Standard
ds-59;idealista;2026-09-05;Via Contardo Ferrini 3;C20;sig;111;nuov;1-2;si;D;0;no;nessuno;;;;810000;;Porta Romana · Trilocale · stato: Nuovo / progetto ristrutturazione · Lusso
ds-60;idealista;2026-09-05;Viale Isonzo 24;C19;civ;86;abit;1-2;si;D;0;no;nessuno;;;;575000;;Porta Romana · Trilocale · stato: Buono · Standard
ds-61;idealista;2026-09-05;Via Friuli;C20;civ;87;abit;3-5;si;D;0;no;nessuno;;;;560000;;Porta Romana · Trilocale · stato: Buono · Standard
ds-62;idealista;2026-09-05;Piazzale Medaglie d'Oro;B19;civ;20;otti;1-2;si;D;0;no;nessuno;;;;190000;;Porta Romana · Monolocale · stato: Ristrutturato · Standard
ds-63;idealista;2026-09-05;Viale Isonzo 8;C19;civ;55;otti;6+;si;D;1;no;nessuno;;;;395000;;Porta Romana · Bilocale · stato: Ristrutturato · Standard
ds-64;idealista;2026-09-05;Corso Lodi 12;C19;civ;32;abit;1-2;no;D;0;no;nessuno;;;;219000;;Porta Romana · Monolocale · stato: Buono · Standard
ds-65;idealista;2026-09-05;Via Friuli;C20;civ;102;abit;3-5;no;D;0;no;nessuno;;;;649000;;Porta Romana · Quadrilocale · stato: Buono · Standard
ds-66;idealista;2026-09-05;;B19;sig;220;otti;3-5;si;D;0;no;nessuno;;;;2190000;;Porta Romana · Quadrilocale · stato: Pronto da abitare / lusso · Lusso
ds-67;idealista;2026-09-05;Via Lodovico Muratori 29;C20;sig;189;abit;1-2;si;F;0;no;nessuno;;;;1350000;;Porta Romana · Quadrilocale · stato: Buono · Lusso
ds-68;idealista;2026-09-05;Corso Lodi 34;C19;civ;95;abit;3-5;si;D;0;no;nessuno;;;;619000;;Porta Romana · Trilocale · stato: Buono · Standard
ds-69;idealista;2026-09-05;Viale Cirene;C20;civ;118;rist;1-2;si;F;0;no;nessuno;;;;790000;;Porta Romana · Quadrilocale · stato: Da ristrutturare · Standard
ds-70;idealista;2026-09-05;Via Giorgio Vasari;C20;sig;370;otti;6+;si;D;0;no;nessuno;;;;2490000;;Porta Romana · Attico · stato: Ottimo / lusso · Lusso
ds-101;immobiliare;2026-09-05;Via Alserio 10;C12;sig;65;otti;3-5;si;A;0;no;nessuno;;;;680000;;Isola · Bilocale · stato: Ottimo / recente · Lusso
ds-103;immobiliare;2026-09-05;;C15;civ;48;nuov;1-2;si;C;0;si;nessuno;;;;280000;;Isola · Monolocale · stato: Nuovo · Standard
ds-107;immobiliare;2026-09-05;Via Fatebenefratelli;B15;sig;250;rist;1-2;si;E;1;si;nessuno;;;;2990000;;Brera · Appartamento · stato: Da ristrutturare / personalizzare · Lusso
ds-108;immobiliare;2026-09-05;Via Ponte Vetero 10;B15;sig;164;rist;1-2;si;G;1;si;nessuno;;;;2600000;;Brera · Appartamento · stato: Da ristrutturare / personalizzare · Lusso
ds-109;immobiliare;2026-09-05;Via Magolfa 5;C18;civ;100;otti;terra;si;A;0;no;nessuno;;;;665000;;Navigli - Darsena · Trilocale · stato: Ottimo / ristrutturato · Standard
ds-110;immobiliare;2026-09-05;Viale Gorizia 6;C18;sig;135;abit;3-5;si;E;1;si;nessuno;;;;950000;;Navigli - Darsena · Trilocale · stato: Buono · Lusso
ds-111;immobiliare;2026-09-05;Via Cardinale Ascanio Sforza 61;B21;civ;48;rist;3-5;si;G;1;si;nessuno;;;;320000;;Navigli / Ascanio Sforza · Bilocale · stato: Da ristrutturare · Standard
ds-112;immobiliare;2026-09-05;Alzaia Naviglio Pavese;C18;civ;101;abit;6+;si;G;1;no;nessuno;;;;580000;;Navigli - Darsena · Trilocale · stato: Buono · Standard
ds-113;immobiliare;2026-09-05;Corso di Porta Romana 124;B20;civ;48;otti;6+;si;C;0;no;nessuno;;;;385000;;Porta Romana / Crocetta · Bilocale · stato: Ottimo · Standard
ds-114;immobiliare;2026-09-05;Corso di Porta Romana 107;B19;sig;85;otti;1-2;si;G;1;no;nessuno;;;;675000;;Porta Romana / Crocetta · Trilocale · stato: Ottimo · Lusso · ristrutturazione dichiarata riguarda le parti comuni
ds-115;immobiliare;2026-09-05;Piazzale Medaglie d'Oro;B19;civ;80;rist;1-2;si;G;0;no;nessuno;;;;480000;;Porta Romana - Medaglie d'Oro · Trilocale · stato: Da ristrutturare · Standard
ds-116;immobiliare;2026-09-05;Via Lambro 7;C12;sig;100;otti;1-2;si;C;1;no;nessuno;;;;850000;;Porta Venezia · Trilocale · stato: Ottimo / ristrutturato · Lusso
ds-117;immobiliare;2026-09-05;Via Lambro 12;C12;sig;110;abit;1-2;si;B;1;si;nessuno;;;;930000;;Porta Venezia · Quadrilocale · stato: Buono · Lusso
ds-118;immobiliare;2026-09-05;Via San Benigno 4;D12;civ;90;abit;3-5;si;F;1;no;nessuno;;;;419000;;Città Studi · Trilocale · stato: Buono · Standard
ds-119;immobiliare;2026-09-05;Via Aselli 22;D12;civ;95;rist;3-5;si;D;1;si;nessuno;;;;540000;;Città Studi · Trilocale · stato: Da ristrutturare / personalizzare · Standard
ds-120;immobiliare;2026-09-05;Via Giovanni Paisiello 6;D12;sig;136;nuov;1-2;si;A;1;si;nessuno;;;;1100000;;Città Studi · Quadrilocale · stato: Nuovo · Lusso
ds-121;immobiliare;2026-09-05;Via Garofalo 4;D12;sig;140;abit;3-5;si;D;1;si;nessuno;;;;895000;;Città Studi · Trilocale · stato: Buono · Lusso
ds-122;immobiliare;2026-09-05;Via Filippo Tajani 1;D12;civ;67;abit;6+;si;E;1;si;nessuno;;;;365000;;Città Studi · Trilocale · stato: Buono · Standard
ds-123;immobiliare;2026-09-05;;D12;civ;140;otti;terra;no;F;0;no;nessuno;;;;379000;;Città Studi · Quadrilocale · stato: Ottimo · Standard · loft su tre livelli, 140 mq comm. (145 effettivi)
ds-124;immobiliare;2026-09-05;Corso di Porta Nuova 52;B18;sig;40;otti;1-2;si;G;0;no;nessuno;;;;409000;;Porta Nuova · Monolocale · stato: Ottimo · Lusso
ds-125;immobiliare;2026-09-05;;C14;sig;140;otti;3-5;si;D;1;no;nessuno;;;;1090000;;Porta Nuova · Trilocale · stato: Ottimo / ristrutturato · Lusso
ds-126;immobiliare;2026-09-05;Corso di Porta Nuova 52;B18;sig;20;abit;3-5;si;G;0;no;nessuno;;;;235000;;Porta Nuova · Monolocale · stato: Buono · Lusso
ds-127;immobiliare;2026-09-05;Corso di Porta Nuova 52;B18;sig;62;otti;6+;si;D;0;no;nessuno;;;;585000;;Porta Nuova · Bilocale · stato: Ottimo / ristrutturato · Lusso
ds-128;immobiliare;2026-09-05;Corso di Porta Nuova;B18;sig;100;otti;3-5;si;G;1;no;nessuno;;;;1200000;;Turati / Porta Nuova · Trilocale · stato: Ottimo / ristrutturato · Lusso
ds-129;immobiliare;2026-09-05;Via Melchiorre Gioia 1;C12;sig;112;otti;3-5;si;E;1;si;nessuno;;;;795000;;Garibaldi / Porta Nuova · Trilocale · stato: Ottimo · Lusso
ds-130;immobiliare;2026-09-05;Piazzale Principessa Clotilde 6;B18;civ;45;abit;rialzato;si;F;0;no;nessuno;;;;320000;;Porta Nuova · Monolocale · stato: Buono · Standard
ds-132;immobiliare;2026-09-05;Piazza della Repubblica;C12;sig;140;otti;1-2;si;C;1;no;nessuno;;;;1600000;;Porta Nuova · Trilocale · stato: Ottimo · Lusso
ds-133;immobiliare;2026-09-05;Via Antonio Tolomeo Trivulzio 3;C17;civ;58;otti;rialzato;si;D;0;no;nessuno;;;;355000;;De Angeli · Bilocale · stato: Ottimo · Standard
ds-134;immobiliare;2026-09-05;Via Moncucco 24;D21;civ;103;otti;3-5;si;D;1;si;nessuno;;;;586000;;Famagosta · Trilocale · stato: Ottimo · Standard
ds-135;immobiliare;2026-09-05;Viale dell'Innovazione 13;D34;civ;116;otti;3-5;si;E;1;si;nessuno;;;;640000;;Bicocca · Trilocale · stato: Ottimo · Standard
ds-151;immobiliare;2026-09-05;Via dei Giardini;B15;sig;100;otti;1-2;si;D;0;no;nessuno;;;;1600000;;Brera · Bilocale · stato: Ristrutturato · Lusso
ds-152;immobiliare;2026-09-05;;B15;sig;100;otti;6+;si;D;0;si;nessuno;;;;1250000;;Brera · Trilocale · stato: Ristrutturato · Lusso
ds-154;immobiliare;2026-09-05;Piazza San Marco;B18;sig;127;abit;3-5;si;D;0;no;nessuno;;;;995000;;Brera · Mansarda / Bilocale · stato: Buono / raffinato · Lusso
ds-155;immobiliare;2026-09-05;;B15;sig;95;otti;terra;si;D;0;no;nessuno;;;;1400000;;Brera · Bilocale · stato: Ristrutturato · Lusso
ds-156;immobiliare;2026-09-05;Via del Lauro 10;B12;sig;95;otti;terra;si;E;0;no;nessuno;;;;1400000;;Brera · Bilocale · stato: Ristrutturato · Lusso
ds-157;immobiliare;2026-09-05;Via Brera;B15;sig;290;otti;6+;si;C;1;no;nessuno;;;;3350000;;Brera · Attico · stato: Ottimo / lusso · Lusso
ds-158;immobiliare;2026-09-05;Via Solferino 3;B18;sig;242;otti;terra;no;A;0;no;nessuno;;;;3500000;;Brera · Appartamento · stato: Ristrutturato · Lusso
ds-159;immobiliare;2026-09-05;Via Fiori Chiari 21;B15;sig;205;otti;3-5;si;D;1;si;nessuno;;;;2950000;;Brera · Attico · stato: Ottimo / lusso · Lusso
ds-162;immobiliare;2026-09-05;Via San Carpoforo 5;B15;sig;76;otti;1-2;si;D;0;no;nessuno;;;;1150000;;Brera · Trilocale · stato: Ristrutturato · Lusso
ds-163;immobiliare;2026-09-05;Viale Nazario Sauro 14;C15;civ;100;otti;3-5;si;E;1;no;nessuno;;;;545000;;Isola · Trilocale · stato: Ottimo · Standard
ds-164;immobiliare;2026-09-05;Viale Nazario Sauro 5;C15;civ;79;abit;rialzato;no;F;0;no;nessuno;;;;385000;;Isola · Trilocale · stato: Buono · Standard
ds-165;immobiliare;2026-09-05;Via Ugo Bassi;C12;civ;95;otti;1-2;si;D;1;si;nessuno;;;;650000;;Isola · Trilocale · stato: Ottimo · Standard
ds-166;immobiliare;2026-09-05;Via Timavo 12;C15;sig;120;nuov;3-5;si;A;0;no;nessuno;;;;1230000;;Isola · Trilocale · stato: Nuovo · Lusso
ds-167;immobiliare;2026-09-05;Via Luigi Porro Lambertenghi 25;C12;civ;122;rist;1-2;si;G;0;si;nessuno;;;;820000;;Isola · Trilocale · stato: Da ristrutturare · Standard · box da 75.000 separato, non incluso
ds-168;immobiliare;2026-09-05;Via Volturno 33;C12;sig;110;otti;3-5;si;D;0;no;nessuno;;;;1490000;;Isola · Trilocale · stato: Ottimo / recente · Lusso
ds-169;immobiliare;2026-09-05;Via Garigliano 8;C12;civ;80;abit;1-2;si;E;0;si;nessuno;;;;470000;;Isola · Trilocale · stato: Buono · Standard
ds-170;immobiliare;2026-09-05;Via Ippolito Rosellini 27;C15;civ;60;nuov;3-5;si;A;0;si;nessuno;;;;525000;;Isola · Bilocale · stato: Nuovo / recente · Standard
ds-171;immobiliare;2026-09-05;Via Ippolito Rosellini 26;C15;sig;206;otti;6+;si;D;1;no;nessuno;;;;1890000;;Isola · Quadrilocale · stato: Ottimo / lusso · Lusso
ds-172;immobiliare;2026-09-05;Piazzale Segrino 1;C12;civ;100;otti;1-2;si;D;0;no;nessuno;;;;530000;;Isola · Trilocale · stato: Ristrutturato · Standard
ds-173;immobiliare;2026-09-05;Viale Monte Nero 29;B19;civ;25;otti;1-2;si;D;1;no;nessuno;;;;225000;;Porta Romana · Monolocale · stato: Ottimo · Standard
ds-174;immobiliare;2026-09-05;Via Gerolamo Tiraboschi 6;C20;civ;70;otti;1-2;si;F;1;no;nessuno;;;;540000;;Porta Romana · Bilocale · stato: Ottimo · Standard
ds-175;immobiliare;2026-09-05;Via Giorgio Vasari 19;C20;civ;49;nuov;1-2;si;A;0;si;nessuno;;;;430000;;Porta Romana · Bilocale · stato: Nuovo · Standard
ds-176;immobiliare;2026-09-05;Via Lodovico Muratori 13;C20;sig;190;otti;6+;si;A;1;si;nessuno;;;;2190000;;Porta Romana · Attico · stato: Ottimo / lusso · Lusso
ds-177;immobiliare;2026-09-05;Viale Monte Nero 8;C20;civ;49;otti;6+;si;E;0;si;nessuno;;;;388000;;Porta Romana · Bilocale · stato: Ristrutturato · Standard
ds-178;immobiliare;2026-09-05;Viale Monte Nero 21;B19;sig;60;abit;1-2;si;D;0;si;nessuno;;;;470000;;Porta Romana · Bilocale · stato: Buono / abitabile · Lusso
ds-180;immobiliare;2026-09-05;Via Mantova 17;C19;civ;55;otti;ultimo;no;F;0;no;nessuno;;;;405000;;Porta Romana · Bilocale · stato: Ottimo · Standard
ds-181;immobiliare;2026-09-05;Via Lazzaro Papi 10;C20;civ;102;abit;1-2;si;D;0;no;nessuno;;;;589000;;Porta Romana · Bilocale · stato: Buono · Standard
ds-182;immobiliare;2026-09-05;Viale Monte Nero;C20;civ;45;rist;3-5;si;G;0;no;nessuno;;;;298000;;Porta Romana · Bilocale · stato: Da personalizzare · Standard
ds-183;immobiliare;2026-09-05;Via Altaguardia 17;C19;civ;45;nuov;rialzato;si;C;0;si;nessuno;;;;320000;;Porta Romana · Loft · stato: Nuovo / ristrutturato · Standard
ds-184;immobiliare;2026-09-05;Via Gaetana Agnesi 2;C19;sig;55;otti;1-2;si;D;1;si;nessuno;;;;450000;;Porta Romana · Bilocale · stato: Ottimo / ristrutturato · Lusso · ristrutturato nel 2009
ds-185;immobiliare;2026-09-05;Via Lodovico Muratori 54;C20;civ;47;rist;6+;si;D;1;no;nessuno;;;;353000;;Porta Romana · Bilocale · stato: Da personalizzare / piccola ristrutturazione · Standard
ds-201;immobiliare;2026-09-05;Via Fiori Oscuri 13;B15;sig;258;otti;terra;no;F;1;si;posto;;;;5500000;;Brera · Quadrilocale · stato: Ottimo stato · Lusso
ds-202;immobiliare;2026-09-05;Via San Carpoforo 9;B15;sig;70;otti;1-2;no;E;1;si;nessuno;;;;799000;;Brera · Bilocale · stato: Ottimo stato · Lusso
ds-203;immobiliare;2026-09-05;Via Montenapoleone;B12;sig;240;otti;6+;si;A;1;si;box;;;;8000000;;Scala - Manzoni · Appartamento · stato: Ottimo stato · Lusso
ds-204;idealista;2026-09-05;Piazza Fidia s.n.c;C15;civ;240;nuov;1-2;si;D;0;si;nessuno;;;;2680000;;Isola · Villa · stato: Nuova costruzione · N/D
ds-205;idealista;2026-09-05;Via Giulio Belinzaghi, 14;C15;civ;105;abit;1-2;si;A;0;no;nessuno;;;;660000;;Isola · Trilocale · stato: Buono stato · N/D
ds-206;idealista;2026-09-05;Via Luigi Federico Menabrea, 7;C15;civ;108;abit;1-2;si;A;0;si;nessuno;;;;790000;;Isola · Trilocale · stato: Buono stato · N/D
ds-207;idealista;2026-09-05;Via Sebenico, 28;C12;civ;56;abit;3-5;si;D;0;no;nessuno;;;;390000;;Isola · Appartamento su due piani · stato: Buono stato · N/D
ds-208;idealista;2026-09-05;Viale Stelvio, 16;C15;civ;115;abit;1-2;si;D;1;si;nessuno;;;;560000;;Isola · Quadrilocale · stato: Buono stato · N/D
ds-209;immobiliare;2026-09-05;piazzale Lagosta 6;C12;sig;42;otti;1-2;si;C;1;no;nessuno;;;;399000;;Isola · Bilocale · stato: Ottimo stato · Lusso
ds-210;immobiliare;2026-09-05;Via Pastrengo 9;C12;civ;45;abit;3-5;no;G;0;si;nessuno;;;;259000;;Isola · Bilocale · stato: Buono stato · N/D
ds-211;immobiliare;2026-09-05;Via Pola 19;C12;civ;55;otti;rialzato;si;G;0;si;nessuno;;;;399000;;Isola · Bilocale · stato: Ottimo stato · N/D
ds-212;immobiliare;2026-09-05;Corso Lodi 13;C20;sig;180;nuov;3-5;si;A;1;si;nessuno;;;;1900000;;Porta Romana - Medaglie d'Oro · Quadrilocale · stato: Nuovo · Lusso
ds-213;immobiliare;2026-09-05;Corso Lodi 7;C20;sig;120;otti;1-2;si;F;0;no;nessuno;;;;850000;;Porta Romana - Medaglie d'Oro · Quadrilocale · stato: Ottimo stato · Lusso
ds-214;immobiliare;2026-09-05;Via Atto Vannucci 11;C19;civ;47;otti;1-2;si;D;0;si;nessuno;;;;374000;;Porta Romana - Medaglie d'Oro · Bilocale · stato: Ottimo stato · N/D
ds-215;immobiliare;2026-09-05;Via Crema;C19;civ;50;otti;6+;si;C;1;no;box;;;;345000;;Porta Romana - Medaglie d'Oro · Bilocale · stato: Ottimo stato · N/D
ds-216;immobiliare;2026-09-05;Via G. Romano 17;C19;civ;55;otti;terra;no;F;0;no;nessuno;;;;360000;;Porta Romana - Medaglie d'Oro · Bilocale · stato: Ottimo stato · N/D
ds-217;immobiliare;2026-09-05;Viale Umbria 21;C20;civ;65;otti;1-2;si;C;1;no;nessuno;;;;357000;;Porta Romana - Medaglie d'Oro · Bilocale · stato: Ottimo stato · N/D
ds-218;idealista;2026-09-05;Corso Buenos Aires, 5;C12;civ;120;abit;3-5;si;D;1;si;nessuno;;;;1190000;;Porta Venezia - Repubblica · Trilocale · stato: Buono stato · N/D
ds-219;idealista;2026-09-05;Via Giuseppe Sirtori, 5;C12;civ;141;abit;rialzato;si;B;0;si;nessuno;;;;982000;;Porta Venezia - Repubblica · Trilocale · stato: Buono stato · N/D
