ID_globale;ID_portale;Portale;Contratto;Quartiere;Indirizzo;Tipo_immobile;Prezzo_EUR;Superficie_mq;Prezzo_vendita_EUR_mq;Canone_affitto_EUR_mq_mese;Locali;Bagni;Piano;Stato;Segmento;Ascensore;Balcone;Terrazzo;Arredato;Cantina;Box_posto_auto;Data_pubblicazione_esatta;Ultimo_aggiornamento;Data_annuncio_visibile_o_proxy;Tipo_data_annuncio;Recenza_portale;Data_rilevazione;Qualita_dato;Nota_data
26;26;Idealista;Vendita;Isola;Via Cola Montano 6;Bilocale;375000;65;5769.23;;2;N/D;2;Buono;Standard;Sì;Sì;No;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
27;27;Idealista;Vendita;Isola;Via Francesco Arese;Bilocale;385000;68;5661.76;;2;N/D;4;Buono;Standard;Sì;Sì;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
28;28;Idealista;Vendita;Isola;Via Ercole Oldofredi;Trilocale;495000;96;5156.25;;3;N/D;2;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
29;29;Idealista;Vendita;Porta Venezia;Via Lazzaro Palazzi;Trilocale;620000;84;7380.95;;3;N/D;2;Buono;Standard;Sì;Sì;No;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
30;30;Idealista;Vendita;Porta Venezia;Via Lambro 11;Trilocale;590000;90;6555.56;;3;N/D;1;Buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
31;31;Idealista;Vendita;Porta Venezia;Viale Vittorio Veneto 14;Bilocale;400000;49;8163.27;;2;N/D;2;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
32;32;Idealista;Vendita;Porta Venezia;Piazza Oberdan;Bilocale;728000;90;8088.89;;2;N/D;5;Ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
33;33;Idealista;Vendita;Porta Venezia;Viale Regina Giovanna;Quadrilocale;1190000;145;8206.9;;4;N/D;5;Buono;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
34;34;Idealista;Vendita;Porta Venezia;Piazza Oberdan;Bilocale;245000;43;5697.67;;2;N/D;1;Da ristrutturare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
35;35;Idealista;Vendita;Porta Venezia;Piazza Oberdan;Trilocale;428000;60;7133.33;;3;N/D;4;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
36;36;Idealista;Vendita;Porta Venezia;Viale Vittorio Veneto 24;Bilocale;598000;90;6644.44;;2;N/D;5;Da personalizzare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
37;37;Idealista;Vendita;Porta Venezia;Viale Tunisia 27;Bilocale;445000;59;7542.37;;2;N/D;1;Nuovo / mai abitato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
38;38;Idealista;Vendita;Porta Venezia;Via Degli Scipioni 1;Quadrilocale;920000;132;6969.7;;4;N/D;R;Ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
39;39;Idealista;Vendita;Porta Venezia;Piazza della Repubblica;Quadrilocale;2200000;191;11518.32;;4;N/D;19;Ristrutturato;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
40;40;Idealista;Vendita;Porta Venezia;Viale Abruzzi;Monolocale;250000;40;6250.0;;1;N/D;R;Ristrutturato;Standard;Sì;N/D;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
41;41;Idealista;Vendita;Città Studi;Via Clericetti 36;Quadrilocale;740000;146;5068.49;;4;N/D;2;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
42;42;Idealista;Vendita;Città Studi;Via Strambio 4;Bilocale;395000;55;7181.82;;2;N/D;3;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
43;43;Idealista;Vendita;Città Studi;Via Moretto da Brescia 19;Bilocale;369000;65;5676.92;;2;N/D;T;Ristrutturato;Standard;Sì;No;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
44;44;Idealista;Vendita;Città Studi;Via Clericetti 38;Bilocale;199000;40;4975.0;;2;N/D;S;Ristrutturato;Standard;No;No;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
45;45;Idealista;Vendita;Città Studi;Via Temistocle Calzecchi 6;Trilocale;350000;60;5833.33;;3;N/D;1;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
46;46;Idealista;Vendita;Città Studi;Via Sangallo 39;Trilocale;470000;85;5529.41;;3;N/D;T;Nuovo;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
47;47;Idealista;Vendita;Città Studi;Via Sangallo 39;Bilocale;468000;72;6500.0;;2;N/D;T;Nuovo;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
48;48;Idealista;Vendita;Città Studi;Via Filippo Tajani 3;Monolocale;199000;28;7107.14;;1;N/D;2;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
49;49;Idealista;Vendita;Città Studi;Via Valvassori Peroni 41;Quadrilocale;475000;104;4567.31;;4;N/D;1;Da personalizzare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
50;50;Idealista;Vendita;Città Studi;Via Averardo Buschi 37;Trilocale;445000;85;5235.29;;3;N/D;2;Ristrutturato / buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
51;51;Idealista;Vendita;Città Studi;Via Temistocle Calzecchi 6;Trilocale;495000;95;5210.53;;3;N/D;8;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
52;52;Idealista;Vendita;Città Studi;Piazza Leonardo da Vinci 8 - B;Bilocale;349000;45;7755.56;;2;N/D;1;Ristrutturato;Standard;Sì;No;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
53;53;Idealista;Vendita;Città Studi;Piazza Leonardo da Vinci 8 - A;Bilocale;339000;45;7533.33;;2;N/D;1;Ristrutturato;Standard;Sì;No;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
54;54;Idealista;Vendita;Città Studi;Via Averardo Buschi 23;Bilocale;533000;70;7614.29;;2;N/D;2;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
55;55;Idealista;Vendita;Città Studi;Via Vigilio Inama 9;Trilocale;619000;114;5429.82;;3;N/D;T;Ristrutturato;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
56;56;Idealista;Vendita;Porta Romana;Viale Isonzo 27;Trilocale;595000;77;7727.27;;3;N/D;1;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
57;57;Idealista;Vendita;Porta Romana;Viale Umbria 27;Trilocale;307000;65;4723.08;;3;N/D;T;Da personalizzare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
58;58;Idealista;Vendita;Porta Romana;Viale Umbria 27;Bilocale;208000;45;4622.22;;2;N/D;T;Da personalizzare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
59;59;Idealista;Vendita;Porta Romana;Via Contardo Ferrini 3;Trilocale;810000;111;7297.3;;3;N/D;2;Nuovo / progetto ristrutturazione;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
60;60;Idealista;Vendita;Porta Romana;Viale Isonzo 24;Trilocale;575000;86;6686.05;;3;N/D;1;Buono;Standard;Sì;N/D;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
61;61;Idealista;Vendita;Porta Romana;Via Friuli;Trilocale;560000;87;6436.78;;3;N/D;5;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
62;62;Idealista;Vendita;Porta Romana;Piazzale Medaglie d'Oro;Monolocale;190000;20;9500.0;;1;N/D;1;Ristrutturato;Standard;Sì;No;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
63;63;Idealista;Vendita;Porta Romana;Viale Isonzo 8;Bilocale;395000;55;7181.82;;2;N/D;6;Ristrutturato;Standard;Sì;Sì;No;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
64;64;Idealista;Vendita;Porta Romana;Corso Lodi 12;Monolocale;219000;32;6843.75;;1;N/D;2;Buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
65;65;Idealista;Vendita;Porta Romana;Via Friuli;Quadrilocale;649000;102;6362.75;;4;N/D;4;Buono;Standard;No;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
66;66;Idealista;Vendita;Porta Romana;Porta Romana (indirizzo non indicato);Quadrilocale;2190000;220;9954.55;;4;N/D;4;Pronto da abitare / lusso;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
67;67;Idealista;Vendita;Porta Romana;Via Lodovico Muratori 29;Quadrilocale;1350000;189;7142.86;;4;N/D;2;Buono;Lusso;Sì;N/D;N/D;N/D;N/D;N/D;N/D;01/09/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
68;68;Idealista;Vendita;Porta Romana;Corso Lodi 34;Trilocale;619000;95;6515.79;;3;N/D;3;Buono;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;04/09/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
69;69;Idealista;Vendita;Porta Romana;Viale Cirene;Quadrilocale;790000;118;6694.92;;4;N/D;1;Da ristrutturare;Standard;Sì;N/D;N/D;N/D;N/D;N/D;N/D;01/09/2026;N/D;Ultimo aggiornamento esposto;N/D;05/09/2026;Scheda lista / descrizione;"Prima pubblicazione non esposta pubblicamente: mantenuta N/D; si conserva l'ultimo aggiornamento o una data/recenza visibile quando disponibile."
