ID_globale,ID_portale,Portale,Contratto,Quartiere,Indirizzo,Tipo_immobile,Prezzo_EUR,Superficie_mq,Prezzo_vendita_EUR_mq,Canone_affitto_EUR_mq_mese,Locali,Bagni,Piano,Stato,Segmento,Ascensore,Balcone,Terrazzo,Arredato,Cantina,Box_posto_auto,Data_pubblicazione_esatta,Ultimo_aggiornamento,Data_annuncio_visibile_o_proxy,Tipo_data_annuncio,Recenza_portale,Data_rilevazione,Qualita_dato,Nota_data,Classe_energetica,Esito_verifica_energia,Data_verifica_energia
211,132081260,Immobiliare.it,Vendita,Isola,via Pola 19,Bilocale,399000,55,7254.545454545455,,2,1,Piano rialzato,Ottimo stato,N/D,Sì,No,No,Sì,Sì,N/D,N/D,2026-09-01,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
212,120847644,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,corso Lodi 13,Quadrilocale,1900000,180,10555.555555555555,,4,3,4,Nuovo,Lusso,Sì,Sì,No,No,Sì,N/D,N/D,2026-02-18,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
213,130163194,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,corso Lodi 7,Quadrilocale,850000,120,7083.333333333333,,4,2,1,Ottimo stato,Lusso,Sì,No,No,Parzialmente Arredato,N/D,N/D,N/D,2026-08-07,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
214,129575622,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,via Atto Vannucci 11,Bilocale,374000,47,7957.446808510638,,2,1,2,Ottimo stato,N/D,Sì,No,No,Parzialmente Arredato,Sì,N/D,N/D,2026-08-28,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,D,Classe dichiarata,2026-09-05
215,130768170,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,via Crema,Bilocale,345000,50,6900,,2,1,6,Ottimo stato,N/D,Sì,Sì,Sì,Sì,N/D,"2 in box privato/box in garage, 2 posto auto",N/D,2026-07-29,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,C,Classe dichiarata,2026-09-05
216,130083578,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,via G. Romano 17,Bilocale,360000,55,6545.454545454545,,2,1,Piano terra,Ottimo stato,N/D,No,No,No,No,N/D,N/D,N/D,2026-08-28,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
217,125963643,Immobiliare.it,Vendita,Porta Romana - Medaglie d'Oro,viale Umbria 21,Bilocale,357000,65,5492.307692307692,,2,1,"1, 5",Ottimo stato,N/D,Sì,Sì,Sì,Sì,N/D,N/D,N/D,2026-07-31,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,C,Classe dichiarata,2026-09-05
218,36025686,Idealista,Vendita,Porta Venezia - Repubblica,"Corso Buenos Aires, 5",Trilocale,1190000,120,9916.666666666666,,3,2,4º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,Sì,N/D,N/D,N/D,24 agosto,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
219,35312798,Idealista,Vendita,Porta Venezia - Repubblica,"Via Giuseppe Sirtori, 5",Trilocale,982000,141,6964.5390070921985,,3,2,Piano rialzato,Buono stato,N/D,Sì,N/D,N/D,N/D,Sì,N/D,N/D,N/D,25 maggio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,B,Classe dichiarata,2026-09-05
220,34227786,Idealista,Vendita,Porta Venezia - Repubblica,"Via Lecco, 5",Bilocale,365000,65,5615.384615384615,,2,2,Piano terra,Buono stato,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,1 luglio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
221,35828880,Idealista,Vendita,Porta Venezia - Repubblica,Via Panfilo Castaldi s.n.c,Bilocale,330000,43,7674.418604651163,,2,1,4º piano,Buono stato,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,17 agosto,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
222,36636990,Idealista,Vendita,Porta Venezia - Repubblica,"Viale Tunisia, 13",Bilocale,435000,50,8700,,2,1,1º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,N/D,N/D,N/D,N/D,25 agosto,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
223,36031403,Idealista,Vendita,Città Studi,"Piazza Enrico Bottini, 4",Bilocale,269000,53,5075.471698113208,,2,1,6º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,Sì,N/D,N/D,N/D,16 giugno,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
224,36115773,Idealista,Vendita,Città Studi,"Via Alessandro Milesi, 4",Bilocale,285000,60,4750,,2,1,Piano terra,Buono stato,N/D,No,N/D,N/D,N/D,N/D,N/D,N/D,N/D,26 giugno,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
225,36191770,Idealista,Vendita,Città Studi,"Via Beato Angelico, 1",Bilocale,350000,40,8750,,2,1,3º piano,Buono stato,N/D,Sì,N/D,N/D,N/D,N/D,N/D,N/D,N/D,7 luglio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
226,30347173,Idealista,Vendita,Città Studi,"Via Giovanni Pacini, 38",Trilocale,690000,136,5073.529411764706,,3,2,5º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,Sì,N/D,N/D,N/D,26 giugno,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
227,36308281,Idealista,Vendita,Città Studi,"Via Giuseppe Bardelli, 4",Appartamento,1000000,193,5181.347150259067,,5,2,3º piano,Buono stato,N/D,Sì,Sì,N/D,N/D,Sì,N/D,N/D,N/D,22 luglio,Aggiornamento senza anno esplicito,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non leggibile nel testo disponibile,2026-09-05
228,129781678,Immobiliare.it,Vendita,Città Studi,piazza Giovanni Giolitti,Appartamento,1100000,177,6214.689265536723,,5,3,2,Da ristrutturare,Lusso,Sì,Sì,No,No,Sì,N/D,N/D,2026-07-31,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
229,130942194,Immobiliare.it,Vendita,Città Studi,via Giovanni Pascoli 56,Trilocale,950000,150,6333.333333333333,,3,2,7,Ottimo stato,Lusso,Sì,Sì,No,Parzialmente Arredato,Sì,N/D,N/D,2026-07-14,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,D,Classe dichiarata,2026-09-05
230,127376255,Immobiliare.it,Vendita,Città Studi,via Giuseppe Colombo,Villa a schiera,1150000,210,5476.190476190476,,5,2,Piano terra,Ottimo stato,Lusso,No,Sì,No,Parzialmente Arredato,N/D,N/D,N/D,2026-03-10,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
231,123827283,Immobiliare.it,Vendita,Zara,piazzale Segrino 5,Bilocale,410000,80,5125,,2,1,Piano rialzato,Da ristrutturare,N/D,Sì,No,No,N/D,Sì,N/D,N/D,2025-10-14,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
232,130675258,Immobiliare.it,Vendita,Zara,via Abbadesse 46,Bilocale,528000,50,10560,,2,1,4,Nuovo,Lusso,Sì,No,No,Sì,N/D,N/D,N/D,2026-07-07,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
233,130091912,Immobiliare.it,Vendita,Zara,via Lario 14,Bilocale,340000,50,6800,,2,1,2,Ottimo stato,N/D,Sì,Sì,No,Sì,N/D,N/D,N/D,2026-08-29,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
234,131613290,Immobiliare.it,Vendita,Zara,via Lario 8,Trilocale,370000,65,5692.307692307692,,3,1,Piano rialzato,Buono stato,N/D,Sì,Sì,No,No,Sì,N/D,N/D,2026-08-07,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
235,127893552,Immobiliare.it,Vendita,Zara,"via Monte Cristallo, 3",Bilocale,255000,56,4553.571428571428,,2,1,Piano terra,Ottimo stato,N/D,No,No,No,Sì,N/D,N/D,N/D,2026-04-20,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
236,131638280,Immobiliare.it,Vendita,Zara,via Torquato Taramelli 5,Villa unifamiliare,1295000,200,6475,,5+,3+,1,Buono stato,N/D,No,Sì,No,Parzialmente Arredato,Sì,"2 in box privato/box in garage, 2 posto auto",N/D,2026-08-25,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
237,129885794,Immobiliare.it,Vendita,Baggio,via Quinto Romano 22,Appartamento in villa,450000,160,2812.5,,4,2,"Da seminterrato a ammezzato, 1",Ottimo stato,N/D,No,Sì,Sì,N/D,Sì,1 in box privato/box in garage,N/D,2026-07-10,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
238,129983512,Immobiliare.it,Vendita,Baggio,via Capri 6,Bilocale,149000,39,3820.5128205128203,,2,1,Piano terra,Ottimo stato,N/D,No,No,No,No,N/D,1 posto auto,N/D,2026-08-24,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,B,Classe dichiarata,2026-09-05
239,130328700,Immobiliare.it,Vendita,Baggio,via Capri 9,Bilocale,168000,51,3294.1176470588234,,2,1,Piano rialzato,Ottimo stato,N/D,Sì,No,No,Sì,Sì,N/D,N/D,2026-07-31,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
240,122530416,Immobiliare.it,Vendita,Baggio,via Francesco Rismondo 110,Bilocale,189000,48,3937.5,,2,1,1,Nuovo,N/D,Sì,Sì,N/D,No,Sì,1 posto auto,N/D,2026-05-27,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
241,131544718,Immobiliare.it,Vendita,Baggio,via Pietro Canevari 7,Quadrilocale,460000,170,2705.8823529411766,,4,2,1,Buono stato,N/D,No,Sì,Sì,Parzialmente Arredato,Sì,2 in box privato/box in garage,N/D,2026-08-05,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
242,130178534,Immobiliare.it,Vendita,Baggio,via Pietro Colla 36,Villa bifamiliare,550000,250,2200,,5+,2,Piano terra,Da ristrutturare,N/D,No,Sì,No,No,Sì,2 in box privato/box in garage,N/D,2026-06-24,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
243,127678794,Immobiliare.it,Vendita,Baggio,via Valle Anzasca 20,Bilocale,225000,55,4090.909090909091,,2,1,3,Nuovo,N/D,Sì,Sì,No,N/D,N/D,1 posto auto,N/D,2026-07-28,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A2,Classe dichiarata,2026-09-05
244,130528514,Immobiliare.it,Vendita,Baggio,via delle Forze Armate 260,Villa a schiera,680000,200,3400,,4,2,Piano rialzato,Da ristrutturare,N/D,No,No,Sì,No,Sì,1 in box privato/box in garage,N/D,2026-07-21,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
245,131391716,Immobiliare.it,Vendita,Affori,via Alessandro Astesani 41,Bilocale,299000,68,4397.058823529412,,2,1,7,Ottimo stato,N/D,Sì,Sì,No,Parzialmente Arredato,Sì,N/D,N/D,2026-07-30,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
246,131151762,Immobiliare.it,Vendita,Affori,via Alessandro Astesani 45,Trilocale,410000,102,4019.607843137255,,3,2,"Interrato (-2), 4",Ottimo stato,N/D,Sì,Sì,No,Parzialmente Arredato,Sì,1 in box privato/box in garage,N/D,2026-07-21,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,B,Classe dichiarata,2026-09-05
247,129952448,Immobiliare.it,Vendita,Affori,via Carlo Bellerio 22,Trilocale,329000,80,4112.5,,3,1,2 piano,Ottimo stato,N/D,No,Sì,No,No,Sì,N/D,N/D,2026-07-29,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
248,132068376,Immobiliare.it,Vendita,Affori,via Chianciano 7,Bilocale,193000,45,4288.888888888889,,2,1,Piano terra,Ottimo stato,N/D,Sì,No,No,Sì,N/D,N/D,N/D,2026-09-02,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
249,131046474,Immobiliare.it,Vendita,Affori,via Gabbro 12,Trilocale,405000,90,4500,,3,1,7,Ottimo stato,N/D,Sì,Sì,No,No,Sì,N/D,N/D,2026-07-17,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,F,Classe dichiarata,2026-09-05
250,132076988,Immobiliare.it,Vendita,Affori,via Gaetano Osculati 8,Bilocale,262000,50,5240,,2,1,Piano terra,Nuovo,N/D,No,No,No,No,N/D,N/D,N/D,2026-09-01,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A2,Classe dichiarata,2026-09-05
251,130693220,Immobiliare.it,Vendita,Affori,"via Privata Publio Rutilio Rufo, 20161 Milano Italia",Bilocale,179000,40,4475,,2,1,4,Ottimo stato,N/D,No,Sì,No,Sì,N/D,N/D,N/D,2026-07-21,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
252,123263217,Immobiliare.it,Vendita,Dergano,via Don Bartolomeo Grazioli 57,Bilocale,210000,50,4200,,2,1,1,Nuovo,N/D,Sì,Sì,No,No,N/D,N/D,N/D,2026-09-03,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,A,Classe dichiarata,2026-09-05
253,130266504,Immobiliare.it,Vendita,Bocconi,via Ripamonti 18,Bilocale,387000,47,8234.04255319149,,2,1,Piano rialzato,Nuovo,Lusso,Sì,No,No,Sì,N/D,N/D,N/D,2026-07-14,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,C,Classe dichiarata,2026-09-05
254,128571680,Immobiliare.it,Vendita,Comasina,via Litta Modignani 114,Villa a schiera,620000,130,4769.2307692307695,,4,2,Piano terra,N/D,N/D,No,No,No,No,N/D,1 in box privato/box in garage,N/D,2026-09-04,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,N/D,Classe non dichiarata nel testo consultato,2026-09-05
255,131963854,Immobiliare.it,Vendita,Duomo,piazza Filippo Meda,Bilocale,798000,82,9731.707317073171,,2,1,2,Buono stato,Lusso,No,Sì,No,No,N/D,N/D,N/D,2026-08-27,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
256,128836962,Immobiliare.it,Vendita,Duomo,via Broletto 37,Trilocale,1150000,136,8455.882352941177,,3,3,Piano rialzato,Ottimo stato,Lusso,Sì,No,No,Sì,N/D,N/D,N/D,2026-06-23,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,D,Classe dichiarata,2026-09-05
257,131434094,Immobiliare.it,Vendita,Duomo,via Broletto 39,Bilocale,825000,55,15000,,2,1,1,Ottimo stato,Lusso,Sì,Sì,No,Sì,Sì,N/D,N/D,2026-07-30,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,G,Classe dichiarata,2026-09-05
258,127345273,Immobiliare.it,Vendita,Duomo,via Broletto 41,Monolocale,500000,54,9259.25925925926,,1,1,1,Ottimo stato,Lusso,No,No,Sì,Sì,N/D,N/D,N/D,2026-09-02,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,E,Classe dichiarata,2026-09-05
259,131043486,Immobiliare.it,Vendita,Melchiorre Gioia,via Luigi Galvani 15,Trilocale,519000,68,7632.35294117647,,3,1,2,Ottimo stato,Lusso,Sì,Sì,No,Sì,N/D,N/D,N/D,2026-08-21,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,D,Classe dichiarata,2026-09-05
260,128922022,Immobiliare.it,Vendita,Moscova,via Solferino 43,Trilocale,1390000,106,13113.207547169812,,3,2,1,Ottimo stato,Lusso,Sì,No,No,Sì,Sì,N/D,N/D,2026-05-08,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,B,Classe dichiarata,2026-09-05
261,129949648,Immobiliare.it,Vendita,Moscova,via Solferino 46,Appartamento,590000,40,14750,,1,1,2,Ottimo stato,Lusso,Sì,N/D,N/D,Parzialmente Arredato,N/D,N/D,N/D,2026-07-26,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,C,Classe dichiarata,2026-09-05
262,130712022,Immobiliare.it,Vendita,Moscova,via Solferino 56,Trilocale,980000,93,10537.63440860215,,3,1,2,Ottimo stato,Lusso,Sì,No,No,Parzialmente Arredato,N/D,N/D,N/D,2026-07-07,N/D,Ultimo aggiornamento esposto,N/D,2026-09-05,Dettaglio annuncio,Prima pubblicazione non esposta. Prezzo richiesto; aggiornamento distinto dalla rilevazione.,D,Classe dichiarata,2026-09-05
